DateResult: Day,IdQueue,NameMailSender,Count
2025-09-01T00:00:00+03:00,107,production-mail-sender-70,961
2025-09-01T00:00:00+03:00,107,production100-mail-sender-118,956
2025-09-01T00:00:00+03:00,107,production100-mail-sender-106,955
2025-09-01T00:00:00+03:00,107,production-mail-sender-3,954
2025-09-01T00:00:00+03:00,107,production100-mail-sender-117,953
2025-09-01T00:00:00+03:00,107,production100-mail-sender-115,947
2025-09-01T00:00:00+03:00,260,production100-mail-sender-1,918
2025-09-01T00:00:00+03:00,260,production100-mail-sender-102,903
2025-09-01T00:00:00+03:00,8,production100-mail-sender-1,860
2025-09-01T00:00:00+03:00,8,production100-mail-sender-103,860
2025-09-01T00:00:00+03:00,8,production100-mail-sender-101,858
2025-09-01T00:00:00+03:00,8,production100-mail-sender-102,856
2025-09-01T00:00:00+03:00,8,production100-mail-sender-113,847
2025-09-01T00:00:00+03:00,8,production100-mail-sender-112,841
2025-09-01T00:00:00+03:00,8,production200-mail-sender-200,840
2025-09-01T00:00:00+03:00,260,production200-mail-sender-200,838
2025-09-01T00:00:00+03:00,8,production100-mail-sender-111,836
2025-09-01T00:00:00+03:00,484,production-mail-sender-1,767
2025-09-01T00:00:00+03:00,484,production100-mail-sender-105,660
2025-09-01T00:00:00+03:00,484,production100-mail-sender-107,659
2025-09-01T00:00:00+03:00,5,production-mail-sender-aws,641
2025-09-01T00:00:00+03:00,5,production-mail-sender-aws-2,640
2025-09-01T00:00:00+03:00,5,production-mail-sender-aws-21,640
2025-09-01T00:00:00+03:00,5,production-mail-sender-aws-3,639
2025-09-01T00:00:00+03:00,105,production100-mail-sender-109,590
2025-09-01T00:00:00+03:00,105,production100-mail-sender-108,585
2025-09-01T00:00:00+03:00,105,production100-mail-sender-101,583
2025-09-01T00:00:00+03:00,105,production100-mail-sender-102,581
2025-09-01T00:00:00+03:00,105,production100-mail-sender-103,581
2025-09-01T00:00:00+03:00,105,production100-mail-sender-111,576
2025-09-01T00:00:00+03:00,105,production100-mail-sender-1,574
2025-09-01T00:00:00+03:00,105,production100-mail-sender-110,574
2025-09-01T00:00:00+03:00,490,production-mail-sender-2,567
2025-09-01T00:00:00+03:00,490,production-mail-sender-4,567
2025-09-01T00:00:00+03:00,490,production-mail-sender-3,563
2025-09-01T00:00:00+03:00,490,production-mail-sender-5,560
2025-09-01T00:00:00+03:00,105,production-mail-sender-4,559
2025-09-01T00:00:00+03:00,105,production-mail-sender-3,556
2025-09-01T00:00:00+03:00,5,production100-mail-sender-1,555
2025-09-01T00:00:00+03:00,105,production-mail-sender-2,554
2025-09-01T00:00:00+03:00,105,production-mail-sender-5,552
2025-09-01T00:00:00+03:00,5,production100-mail-sender-112,546
2025-09-01T00:00:00+03:00,490,production-mail-sender-1,545
2025-09-01T00:00:00+03:00,105,production-mail-sender-1,544
2025-09-01T00:00:00+03:00,5,production100-mail-sender-113,526
2025-09-01T00:00:00+03:00,5,production100-mail-sender-111,524
2025-09-01T00:00:00+03:00,490,production100-mail-sender-111,480
2025-09-01T00:00:00+03:00,447,production100-mail-sender-108,439
2025-09-01T00:00:00+03:00,447,production100-mail-sender-115,437
2025-09-01T00:00:00+03:00,447,production-mail-sender-aws-21,437
2025-09-01T00:00:00+03:00,447,production100-mail-sender-116,436
2025-09-01T00:00:00+03:00,447,production-mail-sender-70,435
2025-09-01T00:00:00+03:00,447,production100-mail-sender-117,433
2025-09-01T00:00:00+03:00,447,production100-mail-sender-110,431
2025-09-01T00:00:00+03:00,447,production100-mail-sender-114,429
2025-09-01T00:00:00+03:00,447,production100-mail-sender-118,429
2025-09-01T00:00:00+03:00,490,production100-mail-sender-103,383
2025-09-01T00:00:00+03:00,490,production100-mail-sender-1,381
2025-09-01T00:00:00+03:00,490,production100-mail-sender-106,381
2025-09-01T00:00:00+03:00,490,production100-mail-sender-101,377
2025-09-01T00:00:00+03:00,490,production100-mail-sender-102,376
2025-09-01T00:00:00+03:00,485,production100-mail-sender-105,363
2025-09-01T00:00:00+03:00,485,production100-mail-sender-107,358
2025-09-01T00:00:00+03:00,490,production200-mail-sender-200,353
2025-09-01T00:00:00+03:00,106,production100-mail-sender-102,349
2025-09-01T00:00:00+03:00,106,production100-mail-sender-101,348
2025-09-01T00:00:00+03:00,106,production100-mail-sender-1,347
2025-09-01T00:00:00+03:00,106,production100-mail-sender-103,347
2025-09-01T00:00:00+03:00,106,production-mail-sender-5,344
2025-09-01T00:00:00+03:00,106,production-mail-sender-1,334
2025-09-01T00:00:00+03:00,106,production-mail-sender-2,326
2025-09-01T00:00:00+03:00,106,production-mail-sender-aws,298
2025-09-01T00:00:00+03:00,257,production100-mail-sender-104,297
2025-09-01T00:00:00+03:00,487,production-mail-sender-aws-2,297
2025-09-01T00:00:00+03:00,257,production200-mail-sender-200,267
2025-09-01T00:00:00+03:00,258,production100-mail-sender-104,214
2025-09-01T00:00:00+03:00,258,production200-mail-sender-200,190
2025-09-01T00:00:00+03:00,370,production100-mail-sender-104,160
2025-09-01T00:00:00+03:00,485,production-mail-sender-aws,155
2025-09-01T00:00:00+03:00,144,production-mail-sender-aws,144
2025-09-01T00:00:00+03:00,145,production-mail-sender-2,144
2025-09-01T00:00:00+03:00,146,production-mail-sender-1,144
2025-09-01T00:00:00+03:00,147,production100-mail-sender-102,144
2025-09-01T00:00:00+03:00,148,production-mail-sender-3,144
2025-09-01T00:00:00+03:00,149,production-mail-sender-4,144
2025-09-01T00:00:00+03:00,150,production100-mail-sender-103,144
2025-09-01T00:00:00+03:00,151,production100-mail-sender-101,144
2025-09-01T00:00:00+03:00,152,production100-mail-sender-1,144
2025-09-01T00:00:00+03:00,153,production-mail-sender-5,144
2025-09-01T00:00:00+03:00,222,production100-mail-sender-105,144
2025-09-01T00:00:00+03:00,223,production100-mail-sender-104,144
2025-09-01T00:00:00+03:00,294,production-mail-sender-aws-2,144
2025-09-01T00:00:00+03:00,328,production-mail-sender-aws-3,144
2025-09-01T00:00:00+03:00,329,production100-mail-sender-106,144
2025-09-01T00:00:00+03:00,330,production100-mail-sender-107,144
2025-09-01T00:00:00+03:00,331,production100-mail-sender-108,144
2025-09-01T00:00:00+03:00,408,production200-mail-sender-200,144
2025-09-01T00:00:00+03:00,530,production100-mail-sender-110,144
2025-09-01T00:00:00+03:00,531,production100-mail-sender-109,144
2025-09-01T00:00:00+03:00,532,production100-mail-sender-113,144
2025-09-01T00:00:00+03:00,533,production100-mail-sender-112,144
2025-09-01T00:00:00+03:00,534,production100-mail-sender-111,144
2025-09-01T00:00:00+03:00,547,production-mail-sender-70,144
2025-09-01T00:00:00+03:00,648,production-mail-sender-aws-23,144
2025-09-01T00:00:00+03:00,649,production-mail-sender-aws-22,144
2025-09-01T00:00:00+03:00,650,production-mail-sender-aws-21,144
2025-09-01T00:00:00+03:00,651,production100-mail-sender-116,144
2025-09-01T00:00:00+03:00,652,production100-mail-sender-117,144
2025-09-01T00:00:00+03:00,653,production100-mail-sender-114,144
2025-09-01T00:00:00+03:00,654,production100-mail-sender-118,144
2025-09-01T00:00:00+03:00,655,production100-mail-sender-115,144
2025-09-01T00:00:00+03:00,486,production100-mail-sender-105,127
2025-09-01T00:00:00+03:00,486,production100-mail-sender-107,127
